terms,pos,type,count
강해지고,Adjective,한상대,1
강화,Noun,김수남,2
강화,Noun,임채진,1
강화하고,Adjective,김수남,1
강화하는,Adjective,김수남,1
강화할,Adjective,정상명,1
강화할,Adjective,채동욱,1
강화해,Adjective,김수남,2
강화해야,Adjective,김진태,1
강화해야,Adjective,정상명,1
갖게,Verb,김수남,1
갖게,Verb,임채진,1
갖고,Verb,문무일,1
갖고,Verb,한상대,1
갖되,Verb,김수남,1
갖추고,Verb,김종빈,1
갖추라는,Verb,정상명,1
갖추지,Verb,윤석열,1
갖춘,Verb,김수남,1
갖춘,Verb,김진태,1
갖춘,Verb,채동욱,1
같은,Adjective,김수남,3
같은,Adjective,김진태,1
같은,Adjective,임채진,1
같은,Adjective,채동욱,1
같이,Adverb,정상명,1
같이,Josa,김진태,1
같이,Josa,정상명,1
개,Noun,김수남,1
개,Noun,정상명,3
개개,Noun,김수남,2
개개인,Noun,김종빈,1
개개인,Noun,한상대,1
개발,Noun,김수남,1
개발,Noun,정상명,1
개방,Noun,임채진,1
개선,Noun,김종빈,1
개선,Noun,정상명,1
개선,Noun,채동욱,1
개설,Noun,김수남,1
개성,Noun,김준규,1
개시,Noun,윤석열,1
개월,Noun,김진태,1
개인,Noun,김진태,1
개인,Noun,윤석열,1
개인,Noun,정상명,1
개입,Noun,윤석열,2
개정,Noun,채동욱,1
개진,Noun,문무일,1
개혁,Noun,김종빈,3
개혁,Noun,정상명,1
개혁,Noun,채동욱,8
객관,Noun,윤석열,1
객관성,Noun,김수남,1
객관성,Noun,채동욱,2
거나,Noun,임채진,3
거대한,Adjective,정상명,1
거두어,Verb,문무일,1
거듭,Noun,김종빈,1
거듭,Noun,김진태,2
거듭,Noun,정상명,3
거뜬히,Adjective,채동욱,1
거래,Noun,김진태,1
거래,Noun,한상대,1
거리,Noun,김수남,1
거리,Noun,김종빈,1
거만,Noun,한상대,1
거부,Noun,정상명,2
거쳐,Verb,정상명,1
걱정,Noun,문무일,1
건강,Noun,김수남,1
건강,Noun,김종빈,1
건강,Noun,김준규,1
건강,Noun,윤석열,1
건강,Noun,임채진,1
건강한,Adjective,채동욱,1
건너가야,Verb,임채진,1
건너갈,Verb,임채진,1
건설,Noun,임채진,1
건설,Noun,정상명,1
건전한,Adjective,김수남,1
건져내,Verb,한상대,1
걷어,Verb,문무일,1
걸,Noun,정상명,1
걸림,Verb,김수남,1
걸어가는,Verb,윤석열,1
걸음,Noun,김수남,1
걸음,Noun,김종빈,1
걸음,Noun,김진태,2
걸음,Noun,임채진,2
걸음,Noun,정상명,2
검사,Noun,김수남,3
검사,Noun,김종빈,1
검사,Noun,김준규,5
검사,Noun,김진태,1
검사,Noun,문무일,2
검사,Noun,정상명,2
검사,Noun,채동욱,1
검사,Noun,한상대,1
검은,Adjective,한상대,1
검찰,Noun,김수남,15
검찰,Noun,김종빈,30
검찰,Noun,김준규,24
검찰,Noun,김진태,39
검찰,Noun,문무일,18
검찰,Noun,윤석열,6
검찰,Noun,임채진,30
검찰,Noun,정상명,51
검찰,Noun,채동욱,33
검찰,Noun,한상대,25
검찰청,Noun,김종빈,2
검찰총장,Noun,김수남,2
검찰총장,Noun,김종빈,2
검찰총장,Noun,김준규,3
검찰총장,Noun,김진태,1
검찰총장,Noun,문무일,1
검찰총장,Noun,윤석열,1
검찰총장,Noun,임채진,1
검찰총장,Noun,정상명,5
검찰총장,Noun,채동욱,4
검찰총장,Noun,한상대,1
검토,Noun,문무일,1
것,Noun,김수남,12
것,Noun,김종빈,13
것,Noun,김준규,3
것,Noun,김진태,12
것,Noun,문무일,2
것,Noun,윤석열,12
것,Noun,임채진,17
것,Noun,정상명,15
것,Noun,채동욱,17
것,Noun,한상대,21
것임,Noun,채동욱,1
겉,Noun,김진태,1
게,Josa,김종빈,1
게,Josa,김준규,3
게을리,Adverb,임채진,1
격동,Noun,정상명,1
격랑,Noun,채동욱,1
격려,Noun,김종빈,1
격려,Noun,김진태,1
격의,Noun,김준규,1
격조,Noun,임채진,1
겪고,Verb,김진태,1
견뎌,Verb,정상명,1
견디고,Verb,한상대,1
견인,Noun,정상명,1
견줄,Noun,임채진,1
견지,Noun,김진태,1
결,Noun,채동욱,1
결과,Noun,김진태,1
결과,Noun,문무일,1
결과,Noun,임채진,1
결과,Noun,채동욱,2
결국,Adverb,김수남,1
결론,Noun,김수남,1
결론,Noun,김진태,1
결론,Noun,문무일,3
결연한,Adjective,김진태,1
결연한,Adjective,채동욱,1
결연히,Adjective,김진태,1
결의,Noun,한상대,1
결정,Noun,김진태,2
결정,Noun,문무일,2
결정,Noun,채동욱,1
결집,Noun,김진태,1
결코,Noun,김종빈,1
결코,Noun,임채진,2
결코,Noun,정상명,2
결코,Noun,채동욱,2
결코,Noun,한상대,1
결함,Noun,임채진,1
겸비,Noun,정상명,1
겸손,Noun,김수남,1
겸손,Noun,임채진,1
겸손,Noun,한상대,1
겸손하게,Adjective,김종빈,1
겸손한,Adjective,임채진,1
겸손한,Adjective,정상명,1
겸손해야,Adjective,김수남,1
겸허,Noun,김수남,1
겸허,Noun,김준규,1
겸허,Noun,김진태,4
겸허,Noun,채동욱,1
경,Modifier,정상명,1
경계,Noun,김수남,1
경계,Noun,김종빈,1
경륜,Noun,김수남,1
경륜,Noun,김진태,1
경미한,Adjective,김준규,1
경우,Noun,김수남,1
경우,Noun,김종빈,2
경우,Noun,김진태,1
경우,Noun,문무일,1
경우,Noun,윤석열,1
경우,Noun,임채진,1
경우,Noun,채동욱,2
경의,Noun,김수남,1
경의,Noun,윤석열,1
경의,Noun,임채진,2
경쟁,Noun,김수남,1
경쟁,Noun,김진태,1
경쟁,Noun,윤석열,3
경제,Noun,김진태,1
경제,Noun,윤석열,2
경제,Noun,한상대,3
경찰,Noun,문무일,1
경찰,Noun,채동욱,1
경청,Noun,김수남,1
경청,Noun,김진태,2
경청,Noun,윤석열,2
경청,Noun,한상대,1
경험,Noun,채동욱,1
곁,Noun,정상명,1
계기,Noun,김준규,1
계기,Noun,정상명,1
계속,Noun,김수남,1
계시는,Adjective,문무일,1
고,Josa,김수남,1
고,Josa,김종빈,1
고,Josa,김준규,4
고,Josa,김진태,2
고,Josa,문무일,2
고,Josa,윤석열,1
고,Josa,임채진,1
고,Josa,정상명,6
고,Josa,채동욱,3
고,Noun,김수남,3
고,Noun,김종빈,1
고,Noun,윤석열,1
고,Noun,정상명,1
고,Noun,채동욱,3
고개,Noun,김수남,2
고견,Noun,정상명,1
고결하신,Adjective,정상명,1
고구마,Noun,김종빈,1
고난,Noun,김종빈,2
고달픈,Adjective,김진태,1
고도,Noun,김종빈,1
고도,Noun,정상명,1
고려,Noun,김수남,1
고려,Noun,김준규,1
고려,Noun,김진태,1
고려,Noun,임채진,2
고리,Noun,한상대,1
고민,Noun,김수남,1
고민,Noun,윤석열,1
고민,Noun,정상명,1
고발,Noun,윤석열,1
고소,Noun,윤석열,1
고양이,Noun,김수남,1
고유,Noun,김진태,1
고자,Noun,김종빈,1
고지,Noun,한상대,1
고질,Noun,김수남,1
고질,Noun,한상대,1
고집,Noun,김진태,1
고치,Noun,한상대,1
고통,Noun,임채진,1
고통스러울,Adjective,김수남,1
고통스러웠던,Adjective,정상명,1
곧,Noun,김진태,1
곧바로,Noun,임채진,1
골,Noun,한상대,1
곳,Noun,김수남,1
곳,Noun,임채진,3
곳,Noun,채동욱,2
곳곳,Noun,김수남,1
곳곳,Noun,임채진,1
곳곳,Noun,채동욱,1
곳곳,Noun,한상대,1
공,Modifier,김수남,1
공,Modifier,김준규,1
공,Modifier,김진태,1
공,Modifier,채동욱,4
공,Noun,채동욱,2
공감,Noun,김진태,1
공감,Noun,문무일,1
공감,Noun,윤석열,2
공개,Noun,김종빈,1
공개,Noun,문무일,1
공권력,Noun,윤석열,1
공기업,Noun,김진태,1
공동,Noun,문무일,1
공동체,Noun,김진태,2
공동체,Noun,문무일,2
공동체,Noun,채동욱,2
공명,Noun,김수남,1
공명,Noun,김진태,1
공명정대,Noun,김진태,1
공명정대,Noun,임채진,1
공명정대,Noun,정상명,1
공무원,Noun,김진태,2
공무원,Noun,임채진,1
공백,Noun,김수남,1
공백,Noun,채동욱,1
공복,Noun,김진태,1
공부,Noun,김종빈,1
공사,Noun,김종빈,1
공사,Noun,김진태,1
공안,Noun,김수남,1
공안,Noun,한상대,1
공익,Noun,윤석열,2
공적,Noun,임채진,1
공적자금,Noun,김진태,1
공정,Noun,김진태,1
공정하게,Adjective,임채진,1
공정하게,Adjective,정상명,1
공정하게,Adjective,채동욱,1
공정하고,Adjective,김수남,1
공정하고,Adjective,김종빈,1
공정하고,Adjective,문무일,1
