terms,pos,type,count
간,Noun,2010,1
간,Suffix,2007,2
간,Suffix,2014,2
간,Suffix,2015,2
간,Suffix,2016,2
간극,Noun,2014,1
간다,Noun,2019,1
간부,Noun,2014,3
간부,Noun,2016,1
간부,Noun,2017,2
갈,Verb,2005,2
갈,Verb,2008,1
갈,Verb,2013,1
갈고,Noun,2013,1
갈등,Noun,2007,2
갈등,Noun,2015,2
갈등,Noun,2017,1
갈등,Noun,2019,1
갈망,Noun,2005,1
갈망,Noun,2006,1
갈취,Noun,2009,1
감,Noun,2010,1
감독,Noun,2006,2
감독,Noun,2014,1
감독,Noun,2016,1
감독,Noun,2019,1
감동,Noun,2007,1
감동,Noun,2009,1
감동,Noun,2012,1
감동,Noun,2014,2
감면,Verb,2009,1
감사,Noun,2005,1
감사,Noun,2009,1
감사,Noun,2012,1
감사,Noun,2016,1
감사,Noun,2017,1
감사,Noun,2018,1
감사,Noun,2019,1
감사,Noun,2020,1
감사하고,Verb,2009,1
감사하다는,Verb,2009,1
감사한,Verb,2016,1
감사합니다,Verb,2005,1
감사합니다,Verb,2006,1
감사합니다,Verb,2007,1
감사합니다,Verb,2008,1
감사합니다,Verb,2009,1
감사합니다,Verb,2012,1
감사합니다,Verb,2013,1
감사합니다,Verb,2014,1
감사합니다,Verb,2015,1
감사합니다,Verb,2016,1
감사합니다,Verb,2017,1
감사합니다,Verb,2018,1
감사합니다,Verb,2019,1
감사합니다,Verb,2020,1
감소,Noun,2017,1
감시,Noun,2006,2
감시,Noun,2007,1
감시,Noun,2014,1
감싸,Verb,2005,1
감액,Noun,2009,1
감정,Noun,2008,1
감정,Noun,2016,1
감정,Noun,2017,2
감지,Noun,2012,1
감찰,Noun,2005,1
감찰,Noun,2012,1
감찰,Noun,2017,1
감히,Noun,2006,1
감히,Noun,2010,1
갑니다,Verb,2009,1
갑시다,Verb,2015,2
갑시다,Verb,2018,1
갑오경장,Noun,2014,1
갑오년,Noun,2014,2
갑질,Verb,2018,1
강,Noun,2005,1
강,Noun,2013,1
강,Noun,2016,1
강,Noun,2017,1
강,Noun,2020,1
강력,Noun,2018,1
강력,Noun,2020,1
강력범죄,Noun,2005,1
강력범죄,Noun,2015,1
강력범죄,Noun,2016,1
강력범죄,Noun,2019,1
강력하게,Adjective,2009,1
강력하게,Adjective,2010,1
강력한,Adjective,2014,1
강력한,Adjective,2015,1
강력히,Adjective,2005,1
강력히,Adjective,2016,2
강압,Noun,2009,1
강인한,Adjective,2009,1
강제,Noun,2005,1
강제,Noun,2014,1
강조,Noun,2006,2
강조,Noun,2012,1
강조,Noun,2013,1
강조,Noun,2014,1
강조,Noun,2015,1
강조,Noun,2017,1
강조,Noun,2018,1
강한,Adjective,2009,1
강한,Adjective,2016,1
강한,Adjective,2017,2
강화,Noun,2008,1
강화,Noun,2015,1
강화,Noun,2016,2
강화,Noun,2017,3
강화하고,Adjective,2005,1
강화하고,Adjective,2007,1
강화하고,Adjective,2017,1
강화하기,Adjective,2019,1
강화하는,Adjective,2015,1
강화하여,Adjective,2018,2
강화합시다,Adjective,2015,1
강화해,Adjective,2008,1
강화해,Adjective,2009,1
강화해,Adjective,2016,1
강화해야,Adjective,2014,1
강화해야,Adjective,2016,1
갖고,Verb,2015,2
갖고,Verb,2016,3
갖고,Verb,2017,1
갖추고,Verb,2017,1
갖추는,Verb,2009,1
갖추는,Verb,2012,1
갖추어야,Verb,2005,1
갖추어야,Verb,2020,1
갖춘,Verb,2008,1
갖춘,Verb,2009,1
같고,Adjective,2017,1
같다,Adjective,2008,1
같습니다,Adjective,2009,1
같은,Adjective,2009,1
같은,Adjective,2010,1
같은,Adjective,2011,1
같은,Adjective,2012,2
같은,Adjective,2013,1
같은,Adjective,2015,1
같이,Adverb,2006,1
같이,Adverb,2009,2
같이,Adverb,2012,1
같이,Adverb,2013,1
같이,Adverb,2014,1
같이,Adverb,2015,2
같이,Adverb,2019,1
같이,Josa,2005,1
같이,Josa,2014,1
개,Noun,2006,1
개,Noun,2007,1
개,Noun,2019,1
개개인,Noun,2005,1
개개인,Noun,2007,1
개개인,Noun,2009,1
개개인,Noun,2010,1
개개인,Noun,2016,1
개국,Noun,2012,2
개발,Noun,2008,1
개별,Noun,2015,1
개선,Noun,2005,3
개선,Noun,2006,2
개선,Noun,2008,1
개선,Noun,2009,1
개선,Noun,2012,2
개선,Noun,2014,3
개선,Noun,2016,1
개선,Noun,2017,1
개선,Noun,2018,2
개선,Noun,2020,1
개인,Noun,2014,2
개입,Noun,2009,1
개입,Noun,2014,1
개입,Noun,2018,1
개입,Noun,2020,1
개정,Noun,2008,1
개정,Noun,2012,1
개정,Noun,2018,1
개정,Noun,2020,1
개진,Noun,2018,1
개진,Noun,2019,1
개최,Noun,2012,1
개최,Noun,2018,2
개편,Noun,2017,1
개혁,Noun,2005,3
개혁,Noun,2006,1
개혁,Noun,2011,1
개혁,Noun,2012,2
개혁,Noun,2013,4
개혁,Noun,2015,1
개혁,Noun,2016,1
개혁,Noun,2018,4
개혁,Noun,2019,3
개혁,Noun,2020,4
객관,Noun,2007,1
객관,Noun,2017,2
거,Noun,2005,1
거나,Noun,2014,1
거나,Noun,2016,1
거둘,Verb,2009,1
거듭,Noun,2008,1
거듭,Noun,2009,1
거듭,Noun,2012,1
거듭,Noun,2013,1
거듭,Noun,2014,1
거듭,Noun,2018,2
거사,Noun,2018,1
거짓,Noun,2010,1
거짓말,Noun,2010,1
거짓말,Noun,2018,1
거짓말,Noun,2020,1
거쳐야,Verb,2012,1
거치면서도,Verb,2012,1
거품,Noun,2005,1
걱정,Noun,2007,1
걱정,Noun,2018,1
건,Noun,2014,1
건강,Noun,2005,1
건강,Noun,2008,1
건강,Noun,2009,1
건강,Noun,2015,1
건강,Noun,2016,1
건강,Noun,2017,1
건강,Noun,2018,1
건강,Noun,2019,1
건강,Noun,2020,1
건강하고,Adjective,2007,1
건강하고,Adjective,2010,1
건강하시고,Adjective,2013,1
건강하시고,Adjective,2014,1
건강하시고,Adjective,2015,1
건강하시고,Adjective,2016,1
건곤,Noun,2013,1
건설,Noun,2009,1
건설,Noun,2015,1
건전한,Adjective,2006,1
건전한,Adjective,2010,1
건전한,Adjective,2015,1
걷는,Verb,2005,1
걷는,Verb,2008,1
걷어내고,Verb,2010,1
걸,Noun,2014,1
걸,Noun,2019,1
걸림,Verb,2009,1
걸림,Verb,2014,1
걸어가야,Verb,2008,1
걸음,Noun,2014,2
걸쳐,Verb,2012,1
검,Noun,2017,1
검,Noun,2019,1
검거,Noun,2010,1
검사,Noun,2009,1
검사,Noun,2010,1
검사,Noun,2014,1
검사,Noun,2016,1
검사,Noun,2017,2
검사,Noun,2018,1
검사동,Noun,2006,1
검증,Noun,2007,1
검찰,Noun,2005,26
검찰,Noun,2006,24
검찰,Noun,2007,18
검찰,Noun,2008,31
검찰,Noun,2009,26
검찰,Noun,2010,7
검찰,Noun,2011,13
검찰,Noun,2012,19
검찰,Noun,2013,29
검찰,Noun,2014,30
검찰,Noun,2015,28
검찰,Noun,2016,21
검찰,Noun,2017,26
검찰,Noun,2018,25
검찰,Noun,2019,20
검찰,Noun,2020,17
검찰청,Noun,2016,1
검찰청,Noun,2019,1
검찰총장,Noun,2011,2
검찰총장,Noun,2013,1
검찰총장,Noun,2016,1
검토,Noun,2006,1
것,Noun,2005,7
것,Noun,2006,17
것,Noun,2007,15
것,Noun,2008,15
것,Noun,2009,18
것,Noun,2010,4
것,Noun,2011,4
것,Noun,2012,15
것,Noun,2013,14
것,Noun,2014,11
것,Noun,2015,20
것,Noun,2016,14
것,Noun,2017,15
것,Noun,2018,7
것,Noun,2019,6
것,Noun,2020,6
것임,Noun,2009,1
것임,Noun,2013,1
겉,Noun,2015,1
겉모양,Noun,2006,1
게,Josa,2013,1
게시판,Noun,2017,1
게을리,Adverb,2017,1
격랑,Noun,2017,1
격려,Noun,2005,2
격려,Noun,2012,1
격려,Noun,2016,1
격려,Noun,2018,1
격변,Noun,2009,1
겪고,Verb,2013,1
겪었습니다,Verb,2009,1
겪었습니다,Verb,2012,1
겪으면서,Verb,2015,1
견뎌,Verb,2017,1
견제,Noun,2008,1
결과,Noun,2006,1
결과,Noun,2015,1
결과,Noun,2017,1
결국,Adverb,2011,1
결론,Noun,2014,1
결연한,Adjective,2014,2
결의,Noun,2015,1
결재,Noun,2016,1
결정,Noun,2009,1
결정,Noun,2013,1
결정,Noun,2016,1
결코,Noun,2009,1
결코,Noun,2013,1
결코,Noun,2020,1
겸손,Noun,2016,1
겸손하게,Adjective,2016,1
겸손하지,Adjective,2019,1
겸손한,Adjective,2016,1
겸손한,Adjective,2017,2
겸손한,Adjective,2019,1
겸허,Noun,2006,1
겸허,Noun,2007,1
겸허,Noun,2013,1
겸허,Noun,2014,1
겸허,Noun,2015,1
겸허,Noun,2017,1
경,Modifier,2006,2
경,Modifier,2008,2
경,Modifier,2009,1
경,Modifier,2015,3
경,Modifier,2016,1
경,Modifier,2018,1
경계,Noun,2019,1
경력,Noun,2016,1
경륜,Noun,2016,1
경미한,Adjective,2010,1
경선,Noun,2018,1
경영,Noun,2009,1
경우,Noun,2010,1
경우,Noun,2011,1
경우,Noun,2014,1
경쟁,Noun,2012,2
경쟁,Noun,2016,1
경쟁,Noun,2018,1
경쟁력,Noun,2011,1
경제,Noun,2005,5
경제,Noun,2008,2
경제,Noun,2009,10
경제,Noun,2010,1
경제,Noun,2012,1
경제,Noun,2013,1
경제,Noun,2014,3
경제,Noun,2015,5
경제,Noun,2016,1
경제,Noun,2018,1
경제,Noun,2019,1
경제,Noun,2020,4
경제민주화,Noun,2013,1
경제범죄,Noun,2018,1
경제범죄,Noun,2019,1
경제위기,Noun,2009,4
경제위기,Noun,2014,1
경주,Noun,2006,1
경주,Noun,2015,1
경주,Noun,2016,2
경찰,Noun,2006,1
경찰,Noun,2012,1
경찰,Noun,2014,1
경찰,Noun,2018,1
경찰관,Noun,2006,1
경찰관,Noun,2015,1
경청,Noun,2013,1
경청,Noun,2016,1
경청,Noun,2018,1
경청,Noun,2020,1
계,Suffix,2007,1
계,Suffix,2014,1
계기,Noun,2005,1
계기,Noun,2011,1
계기,Noun,2012,2
계기,Noun,2013,1
계기,Noun,2017,1
계기,Noun,2019,1
계사년,Noun,2013,1
계속,Noun,2005,2
계속,Noun,2006,1
계속,Noun,2007,1
계속,Noun,2011,2
계속,Noun,2012,1
계속,Noun,2015,1
계속,Noun,2017,1
계속,Noun,2018,3
계속,Noun,2019,2
계속,Noun,2020,2
계심,Noun,2008,1
계좌,Noun,2017,1
계층,Noun,2007,1
계층,Noun,2015,1
계획,Noun,2006,1
계획,Noun,2007,1
계획,Noun,2014,1
고,Josa,2006,1
고,Josa,2007,1
고,Josa,2009,1
고,Josa,2010,3
고,Josa,2011,2
고,Josa,2012,2
고,Josa,2014,2
고,Josa,2015,2
고,Josa,2016,2
고,Josa,2017,2
고,Josa,2018,2
고,Josa,2019,3
고,Josa,2020,3
고,Modifier,2018,1
고,Noun,2007,1
고,Noun,2008,1
고,Noun,2009,1
고,Noun,2012,1
고,Noun,2014,2
